location,date,time,type
,2018-11-12,02:15,
,2018-11-12,02:15,
,2018-11-12,02:15,
fdsffsd,2018-11-12,02:15,on
bangalore,2018-11-12,02:15,
,2018-12-16,16:30,on
,2018-12-16,16:57,
,2018-12-16,17:39,
,2018-12-16,17:39,
,2018-12-16,17:39,
,2018-12-16,17:41,
,2018-12-16,17:41,
,2018-12-16,17:42,
,2018-12-16,17:42,
,2018-12-16,17:43,
,2018-12-16,17:46,
,2018-12-16,17:46,
,2018-12-16,17:46,
,2018-12-16,17:47,
,2018-12-16,17:47,
,2018-12-16,17:47,
,2018-12-16,17:47,
,2018-12-16,17:47,
,2018-12-16,17:47,
,2018-12-16,17:48,
,2018-12-16,17:48,
,2018-12-16,17:48,
,2018-12-16,17:48,
,2018-12-16,17:48,
,2018-12-16,17:48,
,2018-12-16,17:48,
,2018-12-16,17:48,
,2018-12-16,17:48,
,2018-12-16,17:48,
,2018-12-16,17:48,
,2018-12-16,17:48,
,2018-12-16,17:49,
,2018-12-16,17:49,
,2018-12-16,17:49,
,2018-12-16,17:49,
,2018-12-16,17:49,
,2018-12-16,17:50,
,2018-12-16,17:50,
,2018-12-16,17:50,
,2018-12-16,17:50,
,2018-12-16,17:50,
,2018-12-16,17:50,
,2018-12-16,17:50,
,2018-12-16,17:50,
,2018-12-16,17:50,
,2018-12-16,17:52,
,2018-12-16,17:53,
,2018-12-16,17:53,
,2018-12-16,17:53,
,2018-12-16,17:53,
,2018-12-16,17:53,
,2018-12-16,17:54,
,2018-12-16,17:54,
fdsf,2018-12-16,17:54,
,2018-12-16,17:56,
fsdfsdfsd,2018-12-16,17:56,
,2018-12-16,17:56,
,2018-12-16,17:56,
,2018-12-16,17:57,
,2018-12-16,17:57,
,2018-12-16,17:57,
,2018-12-16,17:57,
,2018-12-16,17:57,
,2018-12-16,17:57,
,2018-12-16,17:57,
,2018-12-16,17:57,
,2018-12-16,17:59,
,2018-12-16,17:59,
,2018-12-16,17:59,
,2018-12-16,17:59,
,2018-12-16,17:59,
,2018-12-16,18:00,
,2018-12-16,18:00,
,2018-12-16,18:00,
,2018-12-16,18:01,
,2018-12-16,18:01,
,2018-12-16,18:01,
,2018-12-16,18:01,
,2018-12-16,18:01,
,2018-12-16,18:01,
,2018-12-16,18:02,
,2018-12-16,18:04,
,2018-12-16,18:04,
,2018-12-16,18:04,
,2018-12-16,18:04,
,2018-12-16,18:04,
,2018-12-16,18:05,
,2018-12-16,18:05,
,2018-12-16,18:06,
,2018-12-16,18:07,
,2018-12-16,18:07,
,2018-12-16,18:07,
,2018-12-16,18:07,
newcity,2018-12-16,18:09,
newcity,2018-12-16,18:09,
,2018-12-16,18:10,
,2018-12-16,18:10,
,2018-12-16,18:10,
,2018-12-16,18:10,
,2018-12-16,18:11,
,2018-12-16,18:11,
,2018-12-16,18:11,
new2city,2018-12-16,18:11,
,2018-12-16,18:11,
,2018-12-16,18:12,
,2018-12-16,18:13,
,2018-12-16,18:13,
,2018-12-16,18:13,
,2018-12-16,18:13,
new3city,2018-12-16,18:13,
new4city,2018-12-16,18:14,
new4city,2018-12-16,18:14,
new4city,2018-12-16,18:14,
new4city,2018-12-16,18:14,
,2018-12-16,18:25,
,2018-12-16,18:25,
,2018-12-16,18:25,
,2018-12-16,18:25,
2018-12-16,18:47,
2018-12-16,18:47,
Bengaluru,2018-12-16,18:50,
Bengaluru,2018-12-16,18:50,
Chennai,2018-12-16,18:50,
Chennai,2018-12-16,18:50,
Chennai,2018-12-16,18:50,
Chennai,2018-12-16,18:50,
Bengaluru,2018-12-16,18:52,
Belagavi,2018-12-16,18:54,
2018-12-16,18:54,
2018-12-16,18:54,
2018-12-16,18:54,
Palakkad,2018-12-16,18:54,
2018-12-16,18:55,
Tiruchirappalli,2018-12-16,18:56,
2018-12-16,18:56,
Karur,2018-12-16,18:56,
2018-12-16,18:56,
Nellore,2018-12-16,18:57,
Nellore,2018-12-16,18:57,
Arrah,2018-12-16,18:57,
Arrah,2018-12-16,18:57,
Araria,2018-12-16,18:59,
Chennai,2018-12-16,19:00,
kadapppa,2018-12-16,19:03,
2018-12-16,19:17,on
2018-12-16,19:20,on
2018-12-16,19:32,
2018-12-16,19:38,,hariprasath.er@gmail.com
2018-12-16,19:41,,hari.n93@wipro.com
2018-12-16,19:42,,hariprasath.nag@gmail.com
Chennai,2018-12-16,19:45,on,hariprasath.nag@gmail.com
